accuracy,loss,val_accuracy,val_loss
0.9997090101242065,0.002359846606850624,0.9859523773193359,0.050218384712934494
0.9998942017555237,0.001447303220629692,0.9850000143051147,0.0538850873708725
0.9999470710754395,0.0010666275629773736,0.9852380752563477,0.05266224965453148
0.9999735355377197,0.0008434780174866319,0.9852380752563477,0.054587364196777344
1.0,0.000678257318213582,0.9854761958122253,0.054649703204631805
1.0,0.0006124607753008604,0.9852380752563477,0.05473388731479645
1.0,0.0005306794191710651,0.9852380752563477,0.056402139365673065
1.0,0.0004719877615571022,0.9854761958122253,0.05582578480243683
1.0,0.000437121867435053,0.9852380752563477,0.056846972554922104
1.0,0.00039183476474136114,0.9861904978752136,0.05729137733578682
